"Title"	"Description"	"Genre"	"Rating"	"Link"	"Date"
"Mission: Impossible - Fallout"	"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe."	"ACTION,THRILLER,ADVENTURE"	"72.0"	"/movie/353081"	"July 27, 2018"
"The Grinch"	"The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration."	"ANIMATION,FAMILY,COMEDY,FANTASY"	"63.0"	"/movie/360920"	"November 9, 2018"
"Robin Hood"	"A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown."	"ADVENTURE,ACTION"	"60"	"/movie/375588"	"November 21, 2018"
"Bumblebee"	"On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small Californian beach town. Charlie, on the cusp of turning 18 and trying to find her place in the world, discovers Bumblebee, battle-scarred and broken. When Charlie revives him, she quickly learns this is no ordinary yellow VW bug."	"ACTION,ADVENTURE,SCIENCE FICTION"	"56.0"	"/movie/424783"	"December 21, 2018"
"Peppermint"	"A grieving mother transforms herself into a vigilante following the murders of her husband and daughter, eluding the authorities to deliver her own personal brand of justice."	"ACTION,THRILLER,DRAMA"	"63.0"	"/movie/458594"	"September 7, 2018"
"Alpha"	"In the prehistoric past, Keda, a young and inexperienced hunter, struggles to return home after being separated from his tribe when bison hunting goes awry. On his way back he will find an unexpected ally."	"ADVENTURE,DRAMA"	"56.0"	"/movie/399360"	"August 17, 2018"
"Ralph Breaks the Internet"	"Taking place six years following the events of the first film, the story will center on Ralph's adventures in the Internet data space when a Wi-Fi router gets plugged into the arcade as he must find a replacement part to fix Sugar Rush."	"FAMILY,ANIMATION,COMEDY"	"74.0"	"/movie/404368"	"November 21, 2018"
"A Dog's Purpose"	"A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners."	"COMEDY,DRAMA,FAMILY,FANTASY"	"71.0"	"/movie/381289"	"January 27, 2017"
"White Boy Rick"	"The story of teenager, Richard Wershe Jr., who became an undercover informant for the police during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison."	"DRAMA,CRIME"	"56.0"	"/movie/438808"	"September 14, 2018"
"Smallfoot"	"A bright young yeti finds something he thought didn't exist—a human. News of this “smallfoot” throws the simple yeti community into an uproar over what else might be out there in the big world beyond their snowy village."	"COMEDY,ANIMATION,FAMILY,ADVENTURE,FANTASY"	"66.0"	"/movie/446894"	"September 28, 2018"
"Ant-Man and the Wasp"	"Just when his time under house arrest is about to end, Scott Lang puts again his freedom at risk to help Hope van Dyne and Dr. Hank Pym dive into the quantum realm and try to accomplish, against time and any chance of success, a very dangerous rescue mission."	"ACTION,ADVENTURE,SCIENCE FICTION,COMEDY,FAMILY"	"69.0"	"/movie/363088"	"July 6, 2018"
"The Meg"	"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct."	"ACTION,SCIENCE FICTION,THRILLER,HORROR"	"59.0"	"/movie/345940"	"August 10, 2018"
"The Nun"	"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the order’s unholy secret. Risking not only their lives but their faith and their very souls, they confront a malevolent force in the form of the same demonic nun that first terrorized audiences in “The Conjuring 2” as the abbey becomes a horrific battleground between the living and the damned."	"HORROR,MYSTERY,THRILLER"	"57.0"	"/movie/439079"	"September 7, 2018"
"Crayon Shin-chan: Burst Serving! Kung Fu Boys ~Ramen Rebellion~"	"Shin-chan is all set to challenge Kung Fu in the Chinatown of Kasukabe city, known as Aiyā Town. He and the Kasukabe Defence Force are going to put up a totally no-stunt Kung Fu challenge on the stage."	"COMEDY,ADVENTURE,ANIMATION"	"44.0"	"/movie/507562"	"April 13, 2018"
"The House That Jack Built"	"In five episodes, failed architect and vicious sociopath Jack recounts his elaborately orchestrated murders -- each, as he views them, a towering work of art that defines his life's work as a serial killer in the Pacific Northwest."	"DRAMA,HORROR,THRILLER"	"72.0"	"/movie/398173"	"November 28, 2018"
"Incredibles 2"	"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children."	"ACTION,ADVENTURE,ANIMATION,FAMILY"	"76.0"	"/movie/260513"	"June 15, 2018"
"Black Panther"	"King T'Challa returns home from America to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantel to join with girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war."	"ACTION,ADVENTURE,FANTASY,SCIENCE FICTION"	"73.0"	"/movie/284054"	"February 16, 2018"
"Goosebumps 2: Haunted Halloween"	"Two boys face an onslaught from witches, monsters, ghouls and a talking dummy after they discover a mysterious book by author R. L. Stine."	"ADVENTURE,COMEDY,FANTASY,HORROR,FAMILY"	"57.0"	"/movie/442062"	"October 12, 2018"
"Guardians of the Galaxy"	"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser."	"ACTION,SCIENCE FICTION,ADVENTURE"	"79.0"	"/movie/118340"	"August 1, 2014"
"The Avengers"	"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!"	"SCIENCE FICTION,ACTION,ADVENTURE"	"76.0"	"/movie/24428"	"May 4, 2012"
"Mile 22"	"An elite group of American operatives, aided by a top-secret tactical command team, must transport an asset who holds life-threatening information to an extraction point 22 miles away through the hostile streets of an Asian city."	"ACTION,THRILLER,ADVENTURE,CRIME"	"59.0"	"/movie/347375"	"August 17, 2018"
"Halloween"	"Laurie Strode comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago."	"THRILLER,HORROR"	"64.0"	"/movie/424139"	"October 19, 2018"
"Interstellar"	"Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage."	"ADVENTURE,DRAMA,SCIENCE FICTION"	"82.0"	"/movie/157336"	"November 5, 2014"
"Christopher Robin"	"Christopher Robin, now an adult focused on his life, work and family, suddenly meets his old friend Winnie the Pooh, so must embrace again his forgotten childhood to help him find the path to the Hundred Acre Wood and find out the whereabouts of his lost friends, who have mysteriously disappeared, while he is torn between the love for his family and the annoying demands of his employer who is forcing him to take harsh decisions."	"ANIMATION,ADVENTURE,COMEDY,FAMILY,FANTASY"	"74.0"	"/movie/420814"	"August 3, 2018"
"Fantastic Beasts and Where to Find Them"	"In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations."	"ADVENTURE,FAMILY,FANTASY"	"74.0"	"/movie/259316"	"November 18, 2016"
"The Christmas Chronicles"	"Siblings Kate and Teddy try to prove Santa Claus is real, but when they accidentally cause his sleigh to crash, they have to save Christmas."	"COMEDY,ADVENTURE,FAMILY,FANTASY"	"71.0"	"/movie/527435"	"November 22, 2018"
"Hunter Killer"	"An untested American submarine captain teams with U.S. Navy SEALs to rescue the Russian president, who has been kidnapped by a rogue general."	"ACTION,THRILLER"	"57.0"	"/movie/399402"	"October 26, 2018"
"Overlord"	"On the eve of D-Day during World War II, American paratroopers are caught behind enemy lines after their plane crashes on a mission to destroy a German Radio Tower in a small town outside of Normandy. After reaching their target, the paratroopers come to realize that besides fighting off Nazi soldiers, they also must fight against horrifying, bloody, and violent creatures that are a result of a secret Nazi experiment."	"ACTION,HORROR,SCIENCE FICTION,THRILLER,WAR"	"68.0"	"/movie/438799"	"November 9, 2018"
"Deadpool 2"	"Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life."	"ACTION,COMEDY,ADVENTURE"	"75.0"	"/movie/383498"	"May 18, 2018"
"Captain America: Civil War"	"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies."	"ADVENTURE,ACTION,SCIENCE FICTION"	"73.0"	"/movie/271110"	"May 6, 2016"
"A Star Is Born"	"Seasoned musician Jackson Maine discovers—and falls in love with—struggling artist Ally. She has just about given up on her dream to make it big as a singer—until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons."	"DRAMA,MUSIC,ROMANCE"	"74.0"	"/movie/332562"	"October 5, 2018"
"BlacKkKlansman"	"Ron Stallworth, an African-American police officer from Colorado, successfully manages to infiltrate the local Ku Klux Klan and become the head of the local chapter."	"CRIME,DRAMA,COMEDY"	"74.0"	"/movie/487558"	"July 30, 2018"
"Backtrace"	"The lone surviving thief of a violent armored car robbery is sprung from a high security facility and administered an experimental drug."	"CRIME,DRAMA"	"100"	"/movie/512412"	"December 14, 2018"
"The House with a Clock in Its Walls"	"Lewis Barnavelt, a shy but indomitable ten-year-old orphan, goes to live with his uncle Jonathan, a former entertaining magician, who hides too many creepy secrets, in a creaky old house with a mysterious tick-tocking heart which Jonathan is obsessed to find with the assistance of his enigmatic next-door neighbor Mrs. Zimmerman."	"HORROR,FANTASY,THRILLER,FAMILY,MYSTERY"	"62.0"	"/movie/463821"	"September 21, 2018"
"Aan Devathai"	"A husband and wife, who are poles apart, go through a lean patch after they start living separately."	"DRAMA,FAMILY"	"38.0"	"/movie/462391"	"October 12, 2018"
"Black '47"	"It’s 1847 and Ireland is in the grip of the Great Famine that has ravaged the country for two long years. Feeney, a hardened Irish Ranger who has been fighting for the British Army abroad, abandons his post to return home and reunite with his estranged family."	"DRAMA,WESTERN"	"76.0"	"/movie/438145"	"September 28, 2018"
